Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",643.3623293536044,568.300536933178,719.3236391287666
Low SDI,1991,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",640.1873901375267,559.3361263728582,717.4772239217659
Low SDI,1992,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",637.7108724107402,564.648109980801,711.1160626115359
Low SDI,1993,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",634.95693135654,562.3279269768849,710.9421267659625
Low SDI,1994,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",635.3434144931192,562.7569260177937,711.0355099681908
Low SDI,1995,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",634.7999026727222,562.6909855533743,708.8592183111406
Low SDI,1996,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",633.9921750196432,562.7584594278018,704.4668382511047
Low SDI,1997,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",628.2290265365309,559.2498288732661,697.0556612681194
Low SDI,1998,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",624.6758721678581,555.2543740368008,698.1259018851596
Low SDI,1999,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",613.9555877416243,544.187777958479,684.2628970721033
Low SDI,2000,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",604.373513959933,540.0761264060087,668.7710615178985
Low SDI,2001,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",594.8310708434075,532.0192033989415,657.4328631076681
Low SDI,2002,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",588.1099896202645,524.5674151428635,647.9001380222207
Low SDI,2003,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",578.8423805352127,517.6934224093042,638.0434910152958
Low SDI,2004,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",553.648911702121,497.2270763309636,609.9858933832217
Low SDI,2005,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",535.4059090317428,480.8154041253382,586.8540068144652
Low SDI,2006,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",524.0285329706498,473.8515947963642,571.4063099648212
Low SDI,2007,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",512.0288328861498,461.5025279430225,559.7137432662976
Low SDI,2008,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",503.7503779154277,452.75213081487345,548.5434914827886
Low SDI,2009,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",496.7880202989863,444.9950206660864,542.4700456633748
Low SDI,2010,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",490.0869818772688,438.8051751603772,537.1946927199932
Low SDI,2011,50-69 years,Female,Cardiovascular diseases,"Deaths per 100,000",490.6868792516648,437.40856764394687,540.7213014924718
