Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.4914734494020556,2.6540038853742782,4.535913731286274
Low SDI,1991,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.506470007636944,2.7094057090740837,4.512175489927816
Low SDI,1992,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.5468176364915287,2.7055606496472886,4.558728931219645
Low SDI,1993,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.5265931845309915,2.720018402739518,4.565680767781579
Low SDI,1994,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.522208702263925,2.774715145143601,4.529050859971127
Low SDI,1995,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.4872271351891144,2.72887303346275,4.457580875970628
Low SDI,1996,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.347694362149081,2.6440459782540198,4.268066452055
Low SDI,1997,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.233537037085727,2.537933913331947,4.095615518661037
Low SDI,1998,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.1476717327238646,2.4628515117579015,3.972525220998099
Low SDI,1999,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.1130094468578537,2.4254412910848733,3.927221144576419
Low SDI,2000,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.114111784730202,2.4778919200800877,3.9094222988331286
Low SDI,2001,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.0113903164912097,2.3980794457895915,3.7464586566654012
Low SDI,2002,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.8454978826718356,2.288166161419075,3.5174294212199197
Low SDI,2003,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.7523813211617307,2.2437587275671422,3.3620614283641594
Low SDI,2004,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.728556802013806,2.244242071573982,3.280547453787247
Low SDI,2005,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.753621596772096,2.247813549083505,3.3285174973899956
Low SDI,2006,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.7150761062790085,2.24185843971529,3.2656665614742386
Low SDI,2007,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.5758798705482473,2.1485896685243278,3.058071434105107
Low SDI,2008,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.4228332906450447,2.0147959084970104,2.856467321083544
Low SDI,2009,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.276102473878136,1.8989078210412091,2.6758040486871613
Low SDI,2010,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.1615706194724247,1.7932404017520804,2.5509003375159818
Low SDI,2011,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.1462274320608983,1.7892871253058422,2.5389717447588507
Low SDI,2012,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.1504035237514723,1.800624081947312,2.556525683448641
Low SDI,2013,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.121808999351988,1.7763125392416548,2.4885968567213705
Low SDI,2014,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.0931211877522506,1.747940718807827,2.455910964574498
Low SDI,2015,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.0803335324143717,1.7374313775958232,2.4666409163258436
Low SDI,2016,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.0557509406105625,1.7414258966378544,2.4022753612431904
Low SDI,2017,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",2.004694107707204,1.6942586410710716,2.3371285999764275
Low SDI,2018,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",1.9056685927916508,1.585268503587872,2.203462233902594
Low SDI,2019,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",1.8422618201843302,1.5388870745847967,2.1460320353149713
Low SDI,2020,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",1.7965992114326776,1.4869955457009476,2.0988983226876043
Low SDI,2021,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",1.723684194168177,1.4217743799921567,2.0087250449004985
Low-middle SDI,1990,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.468215582363203,3.6381473639831095,5.507372668786596
Low-middle SDI,1991,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.284921852653112,3.4809348259983186,5.246094896387647
Low-middle SDI,1992,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.2739303566509355,3.4689449454171863,5.26368596756642
Low-middle SDI,1993,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.27529133477866,3.4912764430174015,5.2376410800041935
Low-middle SDI,1994,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.257883864905459,3.474133049510016,5.194607005467868
Low-middle SDI,1995,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.211728750135501,3.4615228377174905,5.116305104971007
Low-middle SDI,1996,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",4.056783856803423,3.3581578208056406,4.9089694851890755
Low-middle SDI,1997,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.898618994621111,3.220106679817389,4.725306441877414
Low-middle SDI,1998,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.790275876162382,3.149656991461317,4.557155474611932
Low-middle SDI,1999,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.7286373365815724,3.1173925648204754,4.465529833304184
Low-middle SDI,2000,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.5869404424476086,3.0149720395848676,4.240060867090491
Low-middle SDI,2001,5-14 years,Female,Cardiovascular diseases,"Deaths per 100,000",3.4476313959631972,2.9225183903529426,4.051833528219895
