Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",773.4889578028517,689.1861348826919,857.2198210122376
Low SDI,1991,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",772.72616252558,694.306398843001,852.080157638732
Low SDI,1992,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",769.0687154804328,688.4459411307286,858.488139445619
Low SDI,1993,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",774.1113925587969,695.8627528184611,851.5313159015446
Low SDI,1994,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",782.9282391759108,714.8402391991839,860.0970399583257
Low SDI,1995,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",780.6634403768354,709.9306087382187,858.935819706554
Low SDI,1996,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",777.0835317833732,700.6102099684726,854.8332296358135
Low SDI,1997,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",790.2610875985932,712.5590779811097,862.0276118806817
Low SDI,1998,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",792.9401562453015,720.6415112361999,864.9538819751432
Low SDI,1999,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",764.4050299456726,701.5403783994678,831.3513479684108
Low SDI,2000,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",748.4369454992441,683.7899022190226,815.9704521430801
Low SDI,2001,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",736.2505869537459,672.750504261631,802.3253693008289
Low SDI,2002,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",716.4725327042522,649.959728675428,776.8212803544515
Low SDI,2003,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",701.4998732010339,637.791329296751,755.0010229801422
Low SDI,2004,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",682.22784311924,619.4808595207302,740.6324483503948
Low SDI,2005,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",662.5024030810359,604.6119707354328,718.2275068809577
Low SDI,2006,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",650.8895827676083,593.9488429143393,704.7200181255582
Low SDI,2007,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",644.9439497051549,589.3514873168143,700.694110094699
Low SDI,2008,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",637.7719577705838,581.8041826322453,694.9254046474387
Low SDI,2009,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",638.5038063844767,578.2293266499155,695.4241618239765
Low SDI,2010,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",639.1820096761559,583.4739277656012,694.4069449126342
Low SDI,2011,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",633.2638849923377,574.4780133696815,686.6296964584938
Low SDI,2012,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",625.0545658958533,571.6346341512443,685.8897911332
Low SDI,2013,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",615.2479801787138,560.824808215514,672.126908441105
Low SDI,2014,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",612.3945169242128,557.0587987100524,675.7308771547847
Low SDI,2015,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",616.1455666683381,558.4687436007578,679.7232798893311
Low SDI,2016,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",602.1429733133687,545.6284741112705,666.7560062764164
Low SDI,2017,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",591.2283108991195,534.7319591733636,652.0454505874251
Low SDI,2018,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",593.0809349014335,529.1302269822362,655.479181792881
Low SDI,2019,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",592.7442471033645,528.404087732477,649.5318579782734
Low SDI,2020,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",587.8286204908322,525.9374135254303,659.1321322337548
Low SDI,2021,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",578.1114049531137,512.4315614113459,649.7593423366095
Low-middle SDI,1990,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",754.5280264231994,688.101969972546,817.6577540566097
Low-middle SDI,1991,50-69 years,Male,Cardiovascular diseases,"Deaths per 100,000",749.9638567829946,691.4428132782627,811.2513908927166
